% Model,20260626_TI_field_CompactXY_X10_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 20:44"
% Dimension,2
% Nodes,277
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
-3.0730613507732762,-3.03563741665075,0.10203167882100685-2.64892957332297E-7i,-0.02832717140382822+7.354253397302927E-8i,0.15300674230876188-3.972335742220788E-7i,-0.04185458402869689+1.0866217893683976E-7i
-4.708543104983516,0.2173968021253745,0.01385480083042897-3.596960480931717E-8i,-0.2069072810544224+5.371692615999969E-7i,-0.0024017555268274317+6.2353979826829155E-9i,0.09573114090869564-2.48535604991693E-7i
-4.47118336285198,0.5711783482458883,0.05466878719244356-1.4193020129149902E-7i,-0.20664663686686952+5.364925814703441E-7i,-0.022054793176540355+5.725828934104401E-8i,0.08581023945964406-2.227791247043255E-7i
-5,0.5,0.002751501859527772-7.143403628142381E-9i,-0.23692918184296563+6.151116239771082E-7i,-0.0018622021289124158+4.8346183732149396E-9i,0.10827096933845326-2.810913001991287E-7i
-4.627733533514382,-0.1612776208864391,-0.00668388042293272+1.735257982759707E-8i,-0.19560622265906344+5.07829640671264E-7i,0.009079599219960155-2.3572305352208746E-8i,0.0972313918319061-2.5243053162998077E-7i
-5,-0.5,-0.004156010302371005+1.0789765222131426E-8i,-0.23006883036385886+5.973008929116771E-7i,0.0014206643537000296-3.6883053025949973E-9i,0.11636063771216107-3.02093563458018E-7i
-4.471183362850836,-0.5711783482462016,-0.048444985364101356+1.2577206990319773E-7i,-0.1868861163966371+4.851906449907381E-7i,0.02796023473347901-7.258989905722104E-8i,0.10419698662127103-2.705144936372059E-7i
-3,-2.5,0.09557244233606284-2.481235943817278E-7i,-0.0012155111554475152+3.1556899617577883E-9i,0.16295221098740587-4.230538355446739E-7i,-7.152579805363059E-4+1.856940941370548E-9i
-2.5161905629996686,-2.8127784027108245,0.08951368320727293-2.323939441208003E-7i,-0.01937880399091348+5.031093046818745E-8i,0.13772096906485973-3.5754890249584023E-7i,-0.015646132795072033+4.062023123398229E-8i
-4.208105135255354,0.31373637918850067,0.039458036289590145-1.0244030132651994E-7i,-0.17038687270071887+4.423555813432423E-7i,-0.0029386994713079427+7.62940297229358E-9i,0.07143333215876872-1.8545403571012099E-7i
-4.01011912116503,0.7621461955282576,0.08678534637067374-2.2531068114211342E-7i,-0.15549162327273874+4.036847810901042E-7i,-0.022806765068988183+5.921054633340467E-8i,0.0429369964238876-1.114723200981658E-7i
-4.010119121164178,-0.7621461955287434,-0.05955962507462925+1.5462771372504725E-7i,-0.11102924736647424+2.882522960038595E-7i,0.04977497969190639-1.2922497918390276E-7i,0.08768142007397031-2.2763705287289084E-7i
-4.117292019567193,-0.11721688536729358,0.003591845812814666-9.325090703517873E-9i,-0.15186585815079776+3.94271629637135E-7i,0.01899400367188521-4.9311918243084644E-8i,0.07666278031377789-1.9903064253461962E-7i
-2.5730657212849106,-2.379487532031645,0.08122741740905103-2.108812778793374E-7i,-0.014616965755662528+3.7948324784842684E-8i,0.13763089549359586-3.5731505497960433E-7i,-0.0014787622489177768+3.839138097437068E-9i
-3.0711783482458297,-1.9711833628521929,0.059007562608673673-1.5319445827998664E-7i,0.013756047775356689-3.571322376073875E-8i,0.14256444167463111-3.701234459923784E-7i,0.03714089446157237-9.642457602948304E-8i
-3.6453235445460352,0.45840382511350874,0.05979127596531562-1.5522912193681114E-7i,-0.12299243664247572+3.193109301757592E-7i,0.008099808009046036-2.1028587612523968E-8i,0.03969838613856097-1.0306429362991674E-7i
-3.585786437627587,1.085786437626223,0.10672870777268195-2.7708730622532254E-7i,-0.10873135117164334+2.8228653590145735E-7i,-0.004496196400478061+1.1672950744621878E-8i,0.0062262220370762345-1.6164414694199224E-8i
-3.5857864376265325,-1.085786437627277,-0.03485177324333676+9.048159737621935E-8i,-0.03806913380444492+9.883445566183963E-8i,0.07605991675738316-1.974654981386224E-7i,0.0753502368078379-1.9562303878907105E-7i
-3.47768004863941,-0.5995509937613417,-0.004693889144454048+1.218619737744149E-8i,-0.07857675965106435+2.0399968404002566E-7i,0.0545977199588444-1.417456977148164E-7i,0.0600651188106964-1.5594006820364058E-7i
-2.701810123123064,-1.6600461371717068,0.04866532024567929-1.263440996792368E-7i,-0.016410672664356477+4.260511699998061E-8i,0.11340456937761152-2.9441906773021447E-7i,0.024788851175271482-6.43564055062478E-8i
-3.2621461955302204,-1.5101191211615839,0.011423139970813734-2.9656567096161748E-8i,0.004020398992145152-1.0437693381024882E-8i,0.10972294167747981-2.848608867754978E-7i,0.06120709402796387-1.5890484537870396E-7i
-3.0708908119897353,-1.1347730557553102,0.013738094375462084-3.5666613440812744E-8i,-0.031241341032473835+8.110825297343413E-8i,0.08687618958121746-2.2554652678311754E-7i,0.047878509834980404-1.2430139550187936E-7i
-4.650987692751212,4.718073658647841,0.0030438850477533808-7.902484026495477E-9i,0.003483424764199028-9.043609769979658E-9i,0.0013338929761156416-3.463030886983496E-9i,0.0015265276925050975-3.963145952218341E-9i
-5,4.500000000000001,-3.4996503373330157E-4+9.085734334732777E-10i,0.0035793265124031137-9.292588302797196E-9i,-1.5335939466709636E-4+3.9814912444649007E-10i,0.0015685185950865543-4.072162039114834E-9i
-4.509569930729843,4.4389374273440785,0.002252055990277594-5.8467505213586406E-9i,0.008205180248640623-2.130215327848148E-8i,9.868275205301795E-4-2.561985290351716E-9i,0.003595484481732858-9.334537355575981E-9i
-3.065999281951675,0.9248486767225564,0.08224829040548681-2.1353165147124748E-7i,-0.0813910934863483+2.1130621100463247E-7i,0.01960416754131643-5.089601559107096E-8i,0.009858543042921683-2.559458642455363E-8i
-3.2621461955296036,1.5101191211626674,0.11728474711798709-3.044927210161315E-7i,-0.06760693819645658+1.7552001497943883E-7i,0.018407035695781115-4.7788041689776775E-8i,-0.009520128461155103+2.4716000083491794E-8i
-3.07117834824588,1.971183362852011,0.11711395664483083-3.0404931761396456E-7i,-0.032267273390045426+8.377176159507548E-8i,0.033128284669267455-8.600710484027829E-8i,-0.008694731802519154+2.2573118927317418E-8i
-2.737621024456859,1.5972055340433389,0.09424661942264849-2.4468151485806516E-7i,-0.047288543593912845+1.227697349026558E-7i,0.02828918989178623-7.34439269995334E-8i,-0.00277444615073393+7.202971217560755E-9i
-4.294244118753793,4.681948568432032,0.008815978004151404-2.2887896311025326E-8i,0.0063798179682169835-1.6563177910726818E-8i,0.0038624684729716306-1.002767677872839E-8i,0.002795914970613733-7.258708212721069E-9i
-4.036708044817469,4.252731756168243,0.012211717416445833-3.170385882038568E-8i,0.020872531236726388-5.418892044308874E-8i,0.0053441224102345475-1.387432222962641E-8i,0.009141020278482653-2.3731765688661885E-8i
-2.8003227128799555,3.3391755983670786,0.06995179042494867-1.8160768155994712E-7i,0.01575823954190599-4.091128091628493E-8i,0.029154787336321326-7.569117677128615E-8i,0.007555894976997296-1.9616489593012546E-8i
-3.270281713519922,3.504029207451866,0.06130356313895999-1.591552968894461E-7i,0.03477786104156662-9.028970774020996E-8i,0.026158592270779005-6.791250468799982E-8i,0.014859204962848274-3.8577222208805665E-8i
