% Model,20260626_TI_field_Base_X50_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 19:57"
% Dimension,2
% Nodes,2200
% Expressions,2
% Description,Arrow surface
% x,y,ec.Jx,ec.Jy
-18.810000000000002,-18.5,-0.055557200929286156,-0.03368759926337363
-17.67,-18.5,-0.04928891558316895,-0.0296427657096625
-16.530000000000005,-18.5,-0.04417813226596282,-0.025866165827106543
-15.389999999999999,-18.5,-0.040343648535363735,-0.022624531867735748
-14.250000000000002,-18.5,-0.036749815217512555,-0.020388888753008195
-13.110000000000001,-18.5,-0.033585769344777035,-0.018075836251413156
-11.97,-18.5,-0.031064484287601064,-0.016663650673246915
-10.830000000000004,-18.5,-0.028672673624332356,-0.014965855520828287
-9.690000000000001,-18.5,-0.026440061191271236,-0.0136813474291392
-8.55,-18.5,-0.024385377682989356,-0.012408719513737511
-7.41,-18.5,-0.022803057387642073,-0.011276275848951415
-6.270000000000003,-18.5,-0.020921890264882257,-0.0104860125110805
-5.129999999999999,-18.5,-0.01927137122898743,-0.00957965173950848
-3.9900000000000024,-18.5,-0.017872446943454898,-0.008749545497064292
-2.849999999999998,-18.5,-0.01660415045608856,-0.008083016893691994
-1.7100000000000009,-18.5,-0.015298654196433434,-0.00750635682655974
-0.5700000000000038,-18.5,-0.01408869644726778,-0.006958778740673367
0.5700000000000003,-18.5,-0.01308407074995081,-0.006465537678886427
1.7099999999999973,-18.5,-0.012044219365384532,-0.006024822581252084
2.8500000000000014,-18.5,-0.011122996275917167,-0.0056318135833906945
3.989999999999999,-18.5,-0.01019729703321474,-0.005197321292894576
5.130000000000003,-18.5,-0.009408357630952434,-0.004947991833113708
6.269999999999996,-18.5,-0.008637226356084774,-0.00462206300877064
7.410000000000005,-18.5,-0.007866095081217106,-0.004296134184427572
8.549999999999997,-18.5,-0.007201531366524679,-0.0041034638035461765
9.689999999999998,-18.5,-0.006569352546355968,-0.003868945257194403
10.83,-18.5,-0.005937173726187229,-0.0036344267108425975
11.969999999999999,-18.5,-0.00540499798535573,-0.003458240969263253
13.11,-18.5,-0.004817834688199496,-0.0032698572445932165
14.250000000000007,-18.5,-0.0042692831570398295,-0.0031344271155887694
15.389999999999993,-18.5,-0.003753763586061091,-0.003005714711620929
16.530000000000005,-18.5,-0.0032729607707343853,-0.0028895497800263846
17.67,-18.5,-0.0027921579554077047,-0.002773384848431908
18.809999999999995,-18.5,-0.0023249790299500928,-0.0026831591291303085
19.949999999999996,-18.5,-0.001859220526021058,-0.0025960793699438237
21.090000000000003,-18.5,-0.0013906733235392375,-0.002511292110769857
22.230000000000004,-18.5,-8.714713541560892E-4,-0.002429632370317849
23.369999999999997,-18.5,-1.7853934690404083E-4,-0.002367101014783018
24.509999999999998,-18.5,0.0010349176415453412,-0.0030140986862619685
-24.51,-17.5,-0.03584918463396258,-0.16729081622582823
-23.37,-17.5,-0.07152950598374194,-0.1127806687800467
-22.23,-17.5,-0.06904220022169383,-0.07872620833198543
-21.09,-17.5,-0.06351507440524495,-0.05858209974259289
-19.95,-17.5,-0.05627952754947618,-0.0464837136438034
-18.810000000000002,-17.5,-0.04955350343584144,-0.03886996783993259
-17.67,-17.5,-0.04505570517605727,-0.033483917907505135
-16.530000000000005,-17.5,-0.04108107060085203,-0.029004708510716477
-15.389999999999999,-17.5,-0.037624747971278016,-0.025803409242560714
-14.250000000000002,-17.5,-0.03472082179506072,-0.022932169536230305
-13.110000000000001,-17.5,-0.03194273557583301,-0.020587984398478937
